Source;Nom;Latitude;Longitude;Syst Géo;Profondeur / Intérêt;Localisation
CDASM 56;FLORENCE H;47N25,659;2W56,180;ED 50;;
NARCOSE 29;ARTIGLIO;47N25,773;2W56,197;ED 50;;
CDASM 56;ARTIGLIO;47N25,782;2W56,242;ED 50;;
Carte épaves Ouessant;THROSTLE;47N25,843;4W55,060;;;
NARCOSE 29;THROSTLE;47N25,904;4W54,986;ED 50;;
NARCOSE 29;L 128;47N26,000;3W06,000;ED 50;;
NARCOSE 29;A.N. HANSEN;47N26,177;3W05,104;ED 50;;
NARCOSE 29;KARL BECK  / CARL BECH;47N26,500;3W05,975;ED 50;;
CDASM 56;MARULIE;47N26,549;3W19,360;WGS 84;;
NARCOSE 29;VOLTAIRE;47N26,751;2W44,650;ED 50;;
NARCOSE 29;LA MONIQUE;47N27,000;3W02,000;ED 50;;
Vérifié;FRANCE;47N27,163;3W02,107;WGS 84;;Quiberon
CDASM 56;AMZER ZO;47N27,447;3W20,479;WGS 84;;
NARCOSE 29;AMZER ZO;47N27,507;3W20,397;ED 50;;
CDASM 56;LUSER;47N27,639;3W20,581;WGS 84;;
CDASM 56;SETESDAL / STANDFORD;47N27,837;3W20,496;ED 50;;
NARCOSE 29;STANDFORD;47N27,840;3W20,500;ED 50;;
NARCOSE 29;ANGERS;47N27,877;2W58,978;ED 50;;
CAP INFO 98;épave;47N28,184;4W35,772;ED 50;;
CAP INFO 98;épave;47N28,235;4W27,185;ED 50;;
NARCOSE 29;BON SONGE;47N28,560;3W26,631;ED 50;;
NARCOSE 29;BON SONGE;47N28,560;3W26,631;;65 / ;Groix-Belle Ile
NARCOSE 29;BOURBAKI;47N29,000;3W25,000;ED 50;;
CAP INFO 98;AMOUR DU MARIN;47N29,652;4W48,611;ED 50;;
NARCOSE 29;BAYUDE;47N30,000;4W00,000;ED 50;;
CDASM 56;DAVID (Caseyeur);47N30,375;3W17,368;WGS 84;;
CAP INFO 98;épave;47N30,382;4W30,447;ED 50;;
NARCOSE 29;DAVID;47N30,430;3W17,288;ED 50;;
Vérifié;NANN SMITH;47N30,540;3W13,658;WGS 84;;Quiberon
NARCOSE 29;L'AVENTURIER;47N30,800;3W26,418;ED 50;;
Vérifié;THRACIA;47N30,815;3W17,405;WGS 84;40 /3;
NARCOSE 29;THRACIA;47N30,870;3W17,325;ED 50;;
CDASM 56;THRACIA;47N30,896;3W17,324;ED 50;;
NARCOSE 29;NYLAND;47N31,137;3W12,379;ED 50;;
CAP INFO 98;épave;47N31,139;5W05,700;ED 50;;
CDASM 56;LE QUATRE;47N31,148;3W12,367;ED 50;;
NARCOSE 29;BUGALET;47N31,251;3W05,390;ED 50;;
CAP INFO 98;clipper;47N31,525;3W37,622;ED 50;;
CAP INFO 98;LA LICORNE;47N32,340;3W58,699;ED 50;;
Vérifié;PONTOPOROS;47N32,778;3W14,512;WGS 84;35 / 2;Groix
CAP INFO 98;LA LICORNE;47N32,869;3W59,325;ED 50;;
CAP INFO 98;PENMINE;47N32,896;3W57,490;ED 50;;
Mec Groix;GREC;47N32,952;3W14,245;;;
NARCOSE 29;SALAMIS;47N33,060;3W54,360;ED 50;;
CDASM 56;ENCHANTERESSE;47N33,544;2W54,862;WGS 84;;
CAP INFO 98;épave;47N34,102;4W17,185;ED 50;;
NARCOSE 29;BAYNAEN;47N34,295;3W39,558;ED 50;;
LIVRE MAURETTE;BAYNAEN;47N34,295;3W39,558;? (ED 50);;
CAP INFO 98;BAYNAEN;47N34,302;3W39,463;ED 50;;
NARCOSE 29;DISHAVAL;47N35,000;3W25,000;ED 50;;
CAP INFO 98;JABADAO;47N35,200;4W43,499;ED 50;;
NARCOSE 29;LE VENGEUR;47N35,523;3W18,767;ED 50;;
NARCOSE 29;PLM 3;47N35,600;3W27,705;ED 50;;
NARCOSE 29;BERNADETTE;47N35,852;3W47,796;ED 50;;
NARCOSE 29;NATHALIE CHANTAL;47N35,885;3W23,614;ED 50;;
CAP INFO 98;épave;47N36,192;5W07,030;ED 50;;
CAP INFO 98;épave;47N36,300;4W23,217;ED 50;;
CAP INFO 98;BISON;47N36,408;4W18,670;ED 50;;
CAP INFO 98;BISSON;47N36,499;4W18,866;ED 50;;
NARCOSE 29;RODI;47N36,522;3W25,245;ED 50;10 /;
LIVRE MAURETTE;RODI;47N36,591;3W25,782;? (ED50);;
CDASM 56;RODI;47N36,615;3W25,064;ED 50;;
CAP INFO 98;épave;47N36,800;4W02,133;ED 50;;
Vérifié;PLEIN CIEL;47N37,015;3W31,938;WGS 84;55 / 2;Groix
NARCOSE 29;KOROLLER;47N37,080;3W31,450;ED 50;;
NARCOSE 29;PASSE-PARTOUT;47N37,282;3W27,888;ED 50;;
NARCOSE 29;CORANNA;47N37,300;3W27,300;ED 50;;
CAP INFO 98;épave;47N37,314;4W20,380;ED 50;;
NARCOSE 29;SANAGA;47N37,409;3W25,807;ED 50;;
NARCOSE 29;DEUX AMIS;47N37,460;3W26,170;ED 50;;
SCUBAXPEDIA;EDOUARD DE COUGY;47N37,894;3W24,175;WGS 84;;
NARCOSE 29;EDOUARD DE COUGY ;47N37,935;3W24,176;ED 50;;
Internet Perso;EDOUARD DE COUGY;47N37,954;3W24,094;ED 50;;
LIVRE MAURETTE;EDOUARD DE COUGY;47N37,957;3W24,050;? (ED50);10 / ;
NARCOSE 29;FREIA;47N38,000;3W30,000;ED 50;;
NARCOSE 29;BIRCHGROVE;47N38,000;3W45,000;ED 50;;
NARCOSE 29;NANTES LORIENT;47N38,040;3W20,280;ED 50;;
CDASM 56;NANTES LORIENT;47N38,042;3W20,283;ED 50;;
NARCOSE 29;NADIA;47N38,177;3W17,831;ED 50;;
NARCOSE 29;ADONIS;47N38,260;3W32,340;ED 50;35 / ;
NARCOSE 29 +;EIDER 2;47N38,330;3W31,950;ED 50;;
NARCOSE 29 +;CAGANCIERO;47N38,362;3W32,162;ED 50;;
CDASM 56;CANGA;47N38,362;3W32,162;ED 50;;
CDASM 56;TOBOGAN;47N38,500;3W32,750;ED 50;;
NARCOSE 29;TOBOGAN;47N38,500;3W32,750;ED 50;;
NARCOSE 29;JEAN-PIERRE ROBERT;47N38,532;3W24,114;ED 50;;
NARCOSE 29;SOLANGE MARIE JO;47N38,580;3W32,190;ED 50;31 /;
LIVRE MAURETTE;SOLANGE MARIE JO;47N38,580;3W32,190;? (ED50);;
NARCOSE 29;MILUKA;47N38,620;3W32,798;ED 50;;
CDASM 56;MILUKA;47N38,620;3W32,800;ED 50;;
NARCOSE 29;QUO VADIS;47N38,732;3W14,511;ED 50;;
CAP INFO 98;épave;47N38,759;4W15,744;ED 50;;
CDASM 56;LE FRINGANT;47N38,799;3W32,871;ED 50;;
CDASM 56;MARGOTTE;47N38,809;3W32,911;ED 50;;
NARCOSE 29;FRINGANT;47N38,860;3W32,790;ED 50;;
NARCOSE 29;LA MARGOTTE;47N38,870;3W32,830;ED 50;;
Vérifié;LYS IMMACULE;47N38,971;3W26,426;WGS 84;22 / 1;Groix
Vérifié;FALKE (SP 134);47N39,074;3W26,560;WGS 84;25 / 3;Groix
FORUM EPAVES;;47N39,143;3W30,608;WGS 84;;Groix
NARCOSE 29;MERE MADELEINE;47N39,148;3W25,030;ED 50;;
Bateau;;47N39,170;3W26,670;WGS 84;;Groix
CDASM 56;NADELLO;47N39,230;3W33,060;ED 50;;
NARCOSE 29;NADELLO;47N39,230;3W33,060;ED 50;;
Vérifié;U 171;47N39,471;3W34,858;WGS 84;30 / 3;Groix
Vérifié;CYRANO (M 4021);47N39,514;3W29,024;WGS 84;20 / 2;Groix
Vérifié;V 709  GUIDO MOHRING;47N39,680;3W25,812;WGS 84;21 / ;Groix
Vérifié;TASSO / TAPIR;47N39,760;3W34,216;WGS 84;35 / 2;Groix
Mecs Groix;CHASSEUR 16;47N39,891;3W27,597;WGS 84;;
NARCOSE 29;CHASSEUR 16;47N39,987;3W27,520;ED 50;;
LIVRE MAURETTE;Épave;47N40,054;3W40,449;? (ED 50);57 /;
CAP INFO 98;épave;47N40,227;4W15,463;ED 50;;
Internet Perso;TY ERWIN;47N40,248;3W23,514;WGS 84;;
NARCOSE 29;TY ERWIN;47N40,254;3W23,501;ED 50;;
Internet Perso;TY ERWIN;47N40,257;3W23,565;ED 50;;
LIVRE MAURETTE;TY ERWIN;47N40,274;3W23,484;? (ED50);;
Vérifié;CHALAND;47N40,745;3W26,716;WGS 84;25 / 1;Groix
NARCOSE 29;FLEUR DE LISIEUX;47N40,799;4W05,917;ED 50;;
LIVRE MAURETTE;LOQUELTAS;47N40,913;3W25,046;? (ED50);;
Vérifié;PHILIP. K. BAUMAN;47N40,966;3W26,998;WGS 84;25 / 1;Groix
NARCOSE 29;LOQUELTAS;47N41,110;3W24,890;ED 50;;
NARCOSE 29;THURINGEN ;47N41,256;3W18,397;ED 50;;
LIVRE MAURETTE;THURINGEN ;47N41,256;3W18,397;? (ED50);;
CDASM 56;THURINGEN ;47N41,278;3W18,370;ED 50;;
SCUBAXPEDIA;Chalutier LA TANCHE;47N41,284;3W23,230;WGS 84;;
NARCOSE 29;MONT JOIE;47N41,310;3W22,914;ED 50;;
NARCOSE 29;ARAB;47N41,310;3W57,687;ED 50;;
CAP INFO 98;épave;47N41,324;4W21,572;ED 50;;
NARCOSE 29;Chalutier LA TANCHE;47N41,345;3W23,149;ED 50;;
LIVRE MAURETTE;Chalutier LA TANCHE;47N41,345;3W23,149;? (ED50);;
NARCOSE 29;FLEUR DE BRETAGNE;47N41,352;3W22,227;ED 50;;
Bateau;;47N41,360;3W26,810;WGS 84;;Groix
Vérifié;NADIA;47N41,446;3W37,170;WGS 84;40 / 3;Groix
Bateau;;47N41,470;3W37,160;WGS 84;;Groix
Vérifié;NADIA CANDELA;47N41,472;3W37,170;WGS 84;40 / 3;Groix
NARCOSE 29;EDMOND ALIX (Dit LA PAILLE);47N41,506;3W24,332;ED 50;;
LIVRE MAURETTE;GUINEVERE;47N41,522;3W24,213;? (ED50);;
Internet Perso;KEROLAY;47N41,540;3W25,100;ED 50;;
NARCOSE 29;CHIMERE;47N41,567;3W22,638;ED 50;;
NARCOSE 29;KEROLAY;47N41,573;3W24,942;ED 50;;
LIVRE MAURETTE;KEROLAY;47N41,573;3W24,942;? (ED50);/ 2;
NARCOSE 29;GRAAFUSIAK;47N41,585;3W22,186;ED 50;;
NARCOSE 29;U 526;47N41,624;3W23,688;ED 50;;
NARCOSE 29;GUINEVERE;47N41,776;3W24,447;ED 50;;
NARCOSE 29;SATURN;47N41,866;3W23,554;ED 50;;
CAP INFO 98;J D'ARC;47N41,950;4W23,411;ED 50;;
NARCOSE 29;RONALD;47N42,092;3W51,800;ED 50;;
LIVRE MAURETTE;Chaland;47N42,163;3W17,325;? (ED50);;
NARCOSE 29;Petit chaland;47N42,163;3W31,883;ED 50;;
NARCOSE 29;CAP NOIR;47N42,174;3W59,485;ED 50;;
Bateau;;47N42,290;3W28,200;WGS 84;;Groix
ASEB;LA GARONNE;47N42,326;4W03,496;;;
LIVRE MAURETTE;RONALD;47N42,413;3W52,411;? (ED50);;
NARCOSE 29;DEVASTATION;47N42,419;3W22,647;ED 50;;
Bateau;;47N42,470;3W40,920;WGS 84;;Groix
LIVRE MAURETTE;PHILOMEL;47N42,513;3W40,846;? (ED50);40/ ;
FORUM EPAVES;PHILOMEL;47N42,513;3W40,846;ED 50;;
CDASM 56;PHILOMEL;47N42,513;3W40,846;ED 50;;
ASEB;L'ADOUR;47N42,529;4W01,653;;;
NARCOSE 29;ADOUR;47N42,529;4W01,655;ED 50;;
NARCOSE 29;PHILOMEL;47N42,531;3W40,865;ED 50;;
CDASM 56;U 256;47N42,763;3W21,910;ED 50;;
NARCOSE 29;CITY OF TAMPICO;47N43,027;4W18,877;ED 50;;
NARCOSE 29;DRADE;47N43,027;4W29,876;ED 50;;
NARCOSE 29;PADRE MAZERANO;47N43,029;3W47,889;ED 50;;
NARCOSE 29;BONGE;47N43,385;4W03,467;ED 50;;
CDASM 56;VIDAR;47N43,431;3W45,405;ED 50;;
NARCOSE 29;ISERE;47N43,522;3W21,117;ED 50;;
LIVRE MAURETTE;ISERE;47N43,522;3W21,117;? (ED 50);;
CAP INFO 98;épave;47N43,580;4W30,600;ED 50;;
NARCOSE 29;STRASBOURG;47N43,584;3W22,048;ED 50;;
LIVRE MAURETTE;STRASBOURG;47N43,585;3W22,057;? (ED50);;
NARCOSE 29;CRAPAUD;47N43,623;3W22,116;ED 50;;
ASEB;WAR CAPTAIN;47N43,716;4W03,562;ED 50;;
CDASM 56;WAR CAPTAIN;47N43,716;4W03,562;ED 50;;
NARCOSE 29;WAR CAPTAIN;47N43,716;4W03,562;ED 50;;
Bateau;;47N43,740;3W39,880;WGS 84;;Groix
Bateau;;47N43,770;4W03,450;WGS 84;;Glénan
NARCOSE 29;HUNDRAAGO;47N43,786;3W39,822;ED 50;;
NARCOSE 29;LE HOLLANDAIS;47N43,786;3W39,822;ED 50;;
CAP INFO 98;épave;47N43,787;4W03,576;ED 50;;
CDASM 56;HUNDRAAGO;47N43,806;3W39,802;ED 50;;
LIVRE MAURETTE;Epave;47N43,806;3W39,802;? (ED50);;
ASEB;LE MASCARET;47N43,818;4W03,682;;;
NARCOSE 29;MASCARET;47N43,833;4W03,678;ED 50;;
CAP INFO 98;PHILOMENE;47N43,838;3W39,767;ED 50;;
FORUM EPAVES;KANARIS;47N43,939;4W13,082;WGS 84;;
NARCOSE 29;KANARIS;47N44,000;4W13,000;ED 50;;
NARCOSE 29;HARRY LUCKENBAVH;47N44,027;4W26,876;ED 50;;
Bateau;;47N44,190;3W56,840;WGS 84;;Glénan
FORUM EPAVES;PIETRO ORSEOLO;47N44,215;3W56,849;WGS 84;;
ASEB;PIETRO ORSEOLO;47N44,215;3W57,170;ED 50;;
FORUM EPAVES;PIETRO ORSEOLO;47N44,215;3W57,170;ED 50;;
LIVRE MAURETTE;PIETRO ORSEOLO;47N44,215;3W57,170;ED50;;
Vérifié;JULIEN QUERE;47N44,244;3W33,180;WGS 84;20 / 2;Groix
NARCOSE 29;PIETRO ORSEOLO;47N44,247;3W56,768;ED 50;;
Bateau;;47N44,370;3W56,550;WGS 84;;
NARCOSE 29;GALAXIE;47N44,430;3W56,492;ED 50;;
ASEB;LE VIDAR;47N44,431;3W45,404;ED 50;;
NARCOSE 29;VIDAR;47N44,432;3W45,395;ED 50;;
LIVRE MAURETTE;Epave;47N44,438;3W45,393;? (ED50);;
LIVRE MAURETTE;VIDAL ?;47N44,438;3W45,393;? (ED 50);40 /;
NARCOSE 29;BREIZH;47N44,439;4W11,570;ED 50;;
LIVRE MAURETTE;GALAXIE;47N44,440;3W56,467;? (ED50);31 / ;
ASEB;GALAXIE;47N44,440;3W56,467;ED 50;;
CDASM 56;;47N44,511;3W43,240;ED 50;;
LIVRE MAURETTE;Epave;47N44,511;3W43,240;? (ED50);;
LIVRE MAURETTE;Pelleteuse;47N44,563;3W46,752;? (ED50);;
NARCOSE 29;PELLETEUSE;47N44,581;3W46,753;ED 50;;
LIVRE MAURETTE;LIBEAUDIERE;47N44,588;3W46,757;? (ED50);40 / ;
CDASM 56;LIBAUDIERE;47N44,588;3W46,757;ED 50;;
NARCOSE 29;LA LIBAUDIERE;47N44,588;3W46,757;ED 50;;
Bateau;;47N44,660;3W54,950;WGS 84;;Glénan
Bateau;;47N44,700;3W54,850;WGS 84;;Glénan
ASEB;AGNUS DEI;47N44,715;3W54,848;;;
NARCOSE 29;AGNUS DEI;47N44,715;3W54,848;ED 50;;
OCEANS;ALJA;47N44,793;4W03,567;ED 50;38;Glénan
NARCOSE 29;SAINT REMY;47N44,797;4W03,524;ED 50;;
NARCOSE 29;HENRI LECOUR;47N44,861;4W27,876;ED 50;;
NARCOSE 29;AMZER ZO;47N44,921;3W53,107;ED 50;;
NARCOSE 29;CILURNUM;47N45,027;4W29,874;ED 50;;
FORUM EPAVES;CHATEAU LAFITE;47N45,028;4W39,871;WGS 84;;
LIVRE MAURETTE;Epave;47N45,159;3W47,916;? (ED50);;
NARCOSE 29;DOMINO;47N45,243;3W59,502;ED 50;;
NARCOSE 29;CHATEAU LAFITE;47N45,351;4W39,874;ED 50;;
NARCOSE 29;AMAZONE;47N45,409;4W03,800;ED 50;;
CERES;ENEZ EUSSA;47N45,483;4W18,245;WGS 84;;
SCY;ENEZ EUSSA;47N45,483;4W18,245;ED 50;;
ASEB;L'ENEZ EUSSA II;47N45,483;4W18,245;ED 50;;
NARCOSE 29;ENEZ EUSSA;47N45,483;4W18,261;ED 50;;
NARCOSE 29;GERFAUT;47N45,799;4W19,300;ED 50;;
NARCOSE 29;ANNE DE BRETAGNE;47N45,817;4W00,031;ED 50;;
ASEB;COTE DE GRASSE II;47N45,863;4W16,827;;;
NARCOSE 29;COTE DE GRACE II;47N45,875;4W16,843;ED 50;;
Bateau;;47N46,130;4W04,630;WGS 84;;Glénan
ASEB;NOTRE DAME;47N46,202;4W04,538;;;
LIVRE MAURETTE;NOTRE DAME;47N46,202;4W04,538;? (ED50);25 / ;
NARCOSE 29;NOTRE DAME;47N46,204;4W04,545;ED 50;;
NARCOSE 29;FRANCOIS ALAIN;47N46,500;3W53,000;ED 50;;
NARCOSE 29;DOUCE FRANCE;47N47,067;3W55,590;ED 50;;
ASEB;L'HOSELAW;47N47,560;4W06,949;;;
NARCOSE 29;WAR PATROL;47N48,026;4W24,873;ED 50;;
ASEB;SAINT ISIDORE;47N48,250;3W56,950;ED 50;;
NARCOSE 29;SAINT ISIDORE;47N48,250;3W56,950;ED 50;;
NARCOSE 29;VILLE DE CAMBRAI;47N48,535;4W24,271;ED 50;;
CAP INFO 98;épave;47N48,698;4W24,940;ED 50;;
ASEB;LE NOMADE;47N49,005;4W02,809;;;
NARCOSE 29;NOMADE;47N49,066;4W02,727;ED 50;;
NARCOSE 29;DOCK DE ST GUENOLE;47N49,515;4W22,570;ED 50;;
ASEB;LE DOCK;47N49,515;4W22,570;;;
NARCOSE 29;SANT VORAND;47N50,488;4W05,247;ED 50;;
CAP INFO 98;PLM 9;47N50,520;4W22,809;ED 50;;
NARCOSE 29;PLM 9;47N50,535;4W22,950;ED 50;;
NARCOSE 29;BALEINIER (UJ 1408);47N51,260;3W55,667;ED 50;;
FORUM EPAVES;OLIVEMOOR;47N52,493;4W27,441;;;
INTERNET;MERREDIO;47N52,495;4W27,452;;50;Quibron
Bateau;;47N52,520;4W27,680;WGS 84;;Penmarc'h
CAP INFO 98;AJAX;47N52,735;4W32,126;ED 50;60;Penmarc'h
NARCOSE 29;AJAX;47N52,765;4W32,117;ED 50;60;Penmarc'h
NARCOSE 29;DICTO;47N53,026;4W59,867;ED 50;;
Bateau;;47N53,530;4W27,520;WGS 84;;Penmarc'h
ASEB;BERWIND;47N53,915;4W27,248;;38;
FORUM EPAVES;LAKE PORTAGE;47N53,916;3W54,831;;;
CAP INFO 98;épave;47N54,480;5W06,270;ED 50;;
FORUM EPAVES;AJAX;47N54,596;4W37,372;;;
Internet Forum;PARAHIBA;47N54,799;4W41,553;;;
NARCOSE 29;PARAHIBA;47N54,919;4W41,434;ED 50;;
NARCOSE 29;BERWIND;47N55,426;4W27,682;ED 50;;
ASEB; LAKE PORTAGE;47N55,532;4W27,532;;;
NARCOSE 29;GEORGIOS;47N55,749;4W26,851;ED 50;;
Archeosousmarine.net;CABO;47N55,967;5W09,949;WGS 84;90;Sein
NARCOSE 29;CISTUDE;47N58,000;6W27,000;ED 50;;
NARCOSE 29;AN AEL MAD;47N58,249;4W35,951;ED 50;;
ASEB;Chalutier MICHEL FRANCOIS;47N59,375;4W33,360;WGS 84;;
NARCOSE 29;MICHEL FRANCOIS (VP 730);47N59,435;4W32,954;ED 50;;
ANGLAIS 98;U 1055;48N00,000;6W30,000;;;
NARCOSE 29;MERS DU SUD;48N00,339;4W45,082;WGS 84;;
NARCOSE 29;BEIGNON;48N00,751;4W48,999;WGS 84;32;Pte du Raz
NARCOSE 29;CARLYLE;48N01,000;5W07,000;ED 50;;
NARCOSE 29;UNION;48N01,314;4W45,582;WGS 84;20;
Archeosousmarine.net;CERWYN;48N01,376;4W48,345;WGS 84;;Sein
NARCOSE 29;SKLERAENN;48N01,539;4W43,182;WGS 84;;Pte du Raz
NARCOSE 29;CARLOS;48N02,000;5W30,000;ED 50;;
Archeosousmarine.net;ARRATIA;48N02,853;4W55,415;WGS 84;;Sein
NARCOSE 29;ALCEDO;48N02,900;4W57,300;ED 50;;
Bateau;;48N03,050;4W46,380;WGS 84;;Pte du Raz
NARCOSE 29;SOLVEIG SKOGLAND;48N03,116;5W00,019;ED 50;;
NARCOSE 29;VALDES;48N03,426;4W57,134;ED 50;;
Archeosousmarine.net;WAR SONG;48N03,507;5W14,467;WGS 84;;Sein
NARCOSE 29;PREMIER;48N03,830;4W40,320;ED 50;;
Bateau;TRANE;48N04,230;4W45,450;WGS 84;28;Pte du Raz
NARCOSE 29;TRANE;48N04,231;4W45,450;WGS 84;28;Pte du Raz
CDASM 56;TRANE;48N04,291;4W45,367;ED 50;28;Pte du Raz
CAP INFO 98;TRANE;48N04,340;4W45,395;ED 50;28;Pte du Raz
Archeosousmarine.net;CAPITAINE MAURICE EUGENE;48N04,383;4W58,641;WGS 84;;Sein
NARCOSE 29;RAFALE;48N04,539;4W39,732;WGS 84;;Pte du Raz
NARCOSE 29;FEDERAL GEORGES;48N04,835;4W32,798;ED 50;;
NARCOSE 29;CYRUS H MAC CORMICK;48N05,000;6W28,000;ED 50;;
NARCOSE 29;BRUNO SANDRINE;48N05,939;4W56,583;WGS 84;;Pte du Raz
Archeosousmarine.net;BRUNO SANDRINE;48N05,941;4W56,584;WGS 84;66;Sein
NARCOSE 29;EGYPT;48N06,000;5W30,000;ED 50;;
INTERNET;EGYPT;48N06,568;5W29,795;WGS 84;123;
NARCOSE 29;JOHANNES CORNELIS;48N07,597;4W32,544;ED 50;;
FORUM EPAVES;MOUNT CARMEL;48N08,541;4W29,418;;;
NARCOSE 29;PERLE;48N09,180;4W24,500;ED 50;;
NARCOSE 29;CLINTONIA;48N09,199;5W43,503;ED 50;;
Vérifié;PERLE;48N09,220;4W24,740;WGS 84;/ 3;Morgat
NARCOSE 29;BOEHLEN;48N09,237;5W06,357;ED 50;;
Vérifié;CASTEL MEURE;48N09,240;4W24,640;WGS 84;/ 3;Morgat
Vérifié;MEUSE;48N09,360;4W25,322;WGS 84;/ 3;Morgat
ANGLAIS 98;U 373;48N10,000;5W31,000;;;
NARCOSE 29;VRON DIEGNA JOHANNA;48N11,342;4W28,489;ED 50;;
Bateau;;48N12,000;4W30,580;WGS 84;;Morgat
ANGLAIS 98;U 1107;48N12,000;5W42,000;;;
Carte épaves Ouessant;DEMETRIOS INGLESSIS;48N12,071;5W34,533;;;
Bateau;;48N12,160;4W28,660;WGS 84;;Morgat
Bateau;;48N12,540;4W27,150;WGS 84;;Morgat
CAP INFO 98;REINE DU LEON;48N13,254;4W39,105;ED 50;38;
NARCOSE 29;REINE DU LEON;48N13,259;4W39,140;ED 50;38;
CAP INFO 98;épave;48N13,359;5W07,156;ED 50;;
INTERNET;ISLE OF HASTINGS;48N13,991;5W07,904;WGS 84;;
NARCOSE 29;ISLE OF HASTINGS;48N14,049;5W07,822;ED 50;;
Vérifié;FOREST CASTLE;48N15,027;4W47,173;WGS 84;35 /3;Conquet
NARCOSE 29;HYDO;48N15,350;4W37,410;ED 50;;
CAP INFO 98;épave;48N15,598;5W06,423;ED 50;;
NARCOSE 29;VENUS;48N15,749;4W45,892;WGS 84;;Camaret
NARCOSE 29;ATLAS;48N15,849;4W53,402;ED 50;;
ANGLAIS 98;U 984;48N16,000;5W33,000;;;
INTERNET;ATLAS (Remorqueur);48N16,253;4W54,012;WGS 84;55;Conquet
